epoch_utc,station,receiver_clock_offset_s,receiver_clock_offset_ns,sigma_s,sigma_ns
2025-04-10T00:45:12,ALGO,-6.105e-09,-6.1049999999999995,,
2025-04-10T00:45:42,ALGO,-5.928e-09,-5.928,,
2025-04-10T00:46:12,ALGO,-5.297e-09,-5.297000000000001,,
2025-04-10T00:46:42,ALGO,-5.425e-09,-5.425,,
2025-04-10T00:47:12,ALGO,-5.671e-09,-5.671,,
2025-04-10T00:47:42,ALGO,-5.145e-09,-5.145,,
2025-04-10T00:48:12,ALGO,-4.756e-09,-4.755999999999999,,
2025-04-10T00:48:42,ALGO,-6.992e-09,-6.992,,
2025-04-10T00:49:12,ALGO,-5.496e-09,-5.496,,
2025-04-10T00:49:42,ALGO,-5.042e-09,-5.042,,
2025-04-10T00:50:12,ALGO,-5.65e-09,-5.65,,
2025-04-10T00:50:42,ALGO,-6.048e-09,-6.048,,
2025-04-10T00:51:12,ALGO,-4.507e-09,-4.507000000000001,,
2025-04-10T00:51:42,ALGO,-5.579e-09,-5.579,,
2025-04-10T00:52:12,ALGO,-5.508e-09,-5.508,,
2025-04-10T00:52:42,ALGO,-4.99e-09,-4.99,,
2025-04-10T00:53:12,ALGO,-4.653e-09,-4.6530000000000005,,
2025-04-10T00:53:42,ALGO,-5.395e-09,-5.395,,
2025-04-10T00:54:12,ALGO,-5.455e-09,-5.455,,
2025-04-10T00:54:42,ALGO,-5.424e-09,-5.424,,
2025-04-10T00:55:12,ALGO,-5.575e-09,-5.575,,
2025-04-10T00:55:42,ALGO,-5.111e-09,-5.111000000000001,,
2025-04-10T00:56:12,ALGO,-5.188e-09,-5.188,,
2025-04-10T00:56:42,ALGO,-5.992e-09,-5.992,,
2025-04-10T00:57:12,ALGO,-5.205e-09,-5.205,,
2025-04-10T00:57:42,ALGO,-5.192e-09,-5.192,,
2025-04-10T00:58:12,ALGO,-5.506e-09,-5.506,,
2025-04-10T00:58:42,ALGO,-4.099e-09,-4.099,,
2025-04-10T00:59:12,ALGO,-4.357e-09,-4.356999999999999,,
2025-04-10T00:59:42,ALGO,-5.478e-09,-5.478000000000001,,
2025-04-10T01:00:12,ALGO,-4.843e-09,-4.843,,
2025-04-10T01:00:42,ALGO,-4.908e-09,-4.908,,
2025-04-10T01:01:12,ALGO,-5.142e-09,-5.1419999999999995,,
2025-04-10T01:01:42,ALGO,-4.145e-09,-4.1450000000000005,,
2025-04-10T01:02:12,ALGO,-4.566e-09,-4.566,,
2025-04-10T01:02:42,ALGO,-4.836e-09,-4.836,,
2025-04-10T01:03:12,ALGO,-5.145e-09,-5.145,,
2025-04-10T01:03:42,ALGO,-5.171e-09,-5.170999999999999,,
2025-04-10T01:04:12,ALGO,-4.661e-09,-4.6610000000000005,,
2025-04-10T01:04:42,ALGO,-5.433e-09,-5.433,,
2025-04-10T01:05:12,ALGO,-4.259e-09,-4.259,,
2025-04-10T01:05:42,ALGO,-4.648e-09,-4.648,,
2025-04-10T01:06:12,ALGO,-4.819e-09,-4.819,,
2025-04-10T01:06:42,ALGO,-4.681e-09,-4.681,,
2025-04-10T01:07:12,ALGO,-5.378e-09,-5.378,,
2025-04-10T01:07:42,ALGO,-4.078e-09,-4.078,,
2025-04-10T01:08:12,ALGO,-4.711e-09,-4.711,,
2025-04-10T01:08:42,ALGO,-3.88e-09,-3.88,,
2025-04-10T01:09:12,ALGO,-4.739e-09,-4.739,,
2025-04-10T01:09:42,ALGO,-4.967e-09,-4.967,,
2025-04-10T01:10:12,ALGO,-4.799e-09,-4.7989999999999995,,
2025-04-10T01:10:42,ALGO,-5.133e-09,-5.133,,
2025-04-10T01:11:12,ALGO,-4.858e-09,-4.8580000000000005,,
2025-04-10T01:11:42,ALGO,-5.218e-09,-5.218,,
2025-04-10T01:12:12,ALGO,-4.018e-09,-4.018,,
